Parametri;;;ASP;;;;MiniZinc;;
K;N;D;Z;S;S/Z;K;Z;S;K
1;4;3;0;0;0;40;0;0;40
1;4;3;0;0;0;40;0;0;48
1;4;3;0;0;0;40;0;0;44
1;4;3;0;0;0;40;0;0;44
1;5;3;0;0;0;40;0;0;52
1;5;3;0;0;0;40;0;0;44
1;5;3;0;0;0;40;0;0;48
1;5;3;0;0;0;40;0;0;44
1;6;3;0;0;0;40;0;0;48
1;6;3;0;0;0;40;0;0;40
1;6;3;0;0;0;40;0;0;44
1;6;3;0;0;0;40;0;0;44
1;6;3;0;0;0;40;1;2;44
1;7;3;1;21;21;52;1;2;40
1;7;3;2;34;17;80;5;13;40
1;7;3;0;0;0;52;0;0;44
1;7;3;0;0;0;68;5;14;40
1;7;3;0;0;0;64;1;2;40
1;8;3;3;78;26;52;5;27;40
1;8;3;4;176;44;64;6;6;40
1;8;3;3;173;58;60;6;8;40
1;8;3;2;85;43;48;6;20;40
1;8;3;3;94;31;48;5;4;40
1;8;3;2;75;38;76;5;14;40
1;9;3;5;265;53;64;8;28;40
1;9;3;5;275;55;52;7;30;40
1;9;3;4;231;58;60;8;17;40
1;9;3;4;291;73;72;9;22;40
1;10;3;5;401;80;60;7;42;40
1;10;3;7;291;42;40;10;33;40
1;10;3;5;216;43;44;7;40;40
1;10;3;5;286;57;40;9;37;40
1;10;3;6;355;59;52;10;32;40
1;12;3;9;528;59;64;12;53;40
1;12;3;9;503;56;56;11;47;40
1;12;3;7;440;63;60;10;50;40
1;12;3;9;544;60;56;11;50;40
1;13;3;9;285;32;40;12;54;40
1;13;3;10;326;33;68;12;64;40
1;13;3;10;333;33;60;12;52;40
1;13;3;9;378;42;40;11;55;40
1;13;3;9;528;59;56;12;59;40
1;14;3;11;420;38;40;12;66;40
1;14;3;11;288;26;44;12;70;40
1;15;3;12;628;52;96;15;64;40
1;15;3;12;437;36;52;15;68;40
1;16;3;14;517;37;40;;;
1;16;3;13;352;27;60;16;80;40
1;16;3;15;619;41;40;;;
1;16;3;14;422;30;44;16;65;40
2;8;3;0;0;0;120;0;0;84
2;9;3;1;59;59;88;0;0;88
2;9;3;2;74;37;136;0;0;88
2;9;3;0;0;0;88;0;0;88
2;9;3;1;84;84;144;0;0;84
2;9;3;0;0;0;96;0;0;84
2;9;3;1;85;85;80;0;0;80
2;9;3;1;6;6;88;0;0;80
2;10;3;1;6;6;88;0;0;84
2;10;3;2;150;75;80;0;0;88
2;11;3;3;147;49;96;0;0;88
2;11;3;3;135;45;104;0;0;88
2;11;3;4;101;25;104;0;0;80
2;12;3;5;344;69;104;0;0;84
2;12;3;4;234;59;104;0;0;80
2;12;3;3;135;45;80;0;0;80
2;12;3;4;175;44;96;5;6;84
2;12;3;5;162;32;96;3;7;84
2;12;3;3;157;52;96;;;
2;13;3;5;223;45;88;;;
2;13;3;6;251;42;104;5;10;80
2;13;3;6;196;33;88;0;0;96
2;13;3;5;340;68;112;0;0;84
2;13;3;4;197;49;104;7;2;84
2;13;3;5;317;63;96;;;
2;14;3;11;491;45;96;;;
2;14;3;;;;;;;
2;14;3;8;407;51;96;6;16;84
2;14;3;7;461;66;128;8;15;84
2;14;3;10;531;53;120;;;
2;14;3;6;310;52;96;6;15;84
2;14;3;7;388;55;88;;;
2;14;3;;;;;;;
2;15;3;10;469;47;104;3;4;80
2;15;3;7;168;24;80;;;
2;15;3;10;425;43;112;;;
2;15;3;9;350;39;120;9;32;88
2;15;3;9;315;35;96;8;31;88
2;15;3;10;523;52;176;;;
2;15;3;9;503;56;136;;;
2;15;3;8;331;41;88;;;
2;16;3;13;357;27;88;11;32;84
2;16;3;10;625;63;104;7;33;84
2;16;3;13;618;48;160;;;
2;16;3;9;445;49;96;;;
2;16;3;13;555;43;96;;;
2;16;3;8;346;43;104;;;
2;16;3;14;324;23;88;;;
2;16;3;10;512;51;120;;;
2;16;3;7;426;61;104;;;