Param;;ASP;;;;MZN;;
K;N;UC;;AVG(US);SAN;UC;MAX(US);SAN
1;4;0;0;0;40;0;0;44
1;4;0;0;0;40;0;0;44
1;4;0;0;0;40;0;0;44
1;4;0;0;0;40;0;0;44
1;4;0;0;0;40;0;0;40
1;4;0;0;0;40;0;0;44
1;5;0;0;0;40;0;0;44
1;5;0;0;0;40;0;0;40
1;5;0;0;0;40;0;0;40
1;6;0;0;0;40;0;0;44
1;6;0;0;0;40;0;0;40
1;6;0;0;0;68;0;0;40
1;6;0;0;0;40;0;0;40
1;6;0;0;0;40;0;0;40
1;7;1;18;18;44;0;0;40
1;7;0;0;0;44;0;0;40
1;7;0;0;0;56;0;0;40
1;7;0;0;0;40;0;0;40
1;8;2;116;58;92;5;14;40
1;8;2;133;67;60;5;9;40
1;8;2;65;33;64;3;2;40
1;9;2;141;71;52;7;20;40
1;9;3;142;47;60;7;24;40
1;9;4;300;75;60;8;37;40
1;10;6;304;51;76;8;40;40
1;10;6;240;40;52;9;38;40
1;10;6;283;47;40;9;33;40
1;10;5;350;70;64;9;32;40
1;11;7;319;46;44;9;52;40
1;11;5;316;63;48;8;53;40
1;11;8;190;24;44;10;44;40
1;11;7;449;64;60;10;47;40
1;11;8;474;59;40;9;55;40
1;11;7;377;54;72;9;51;40
1;12;8;463;58;72;10;62;40
1;12;8;414;52;44;11;56;40
1;12;8;421;53;68;10;51;40
1;12;9;187;21;52;11;52;40
1;12;8;509;64;64;11;52;40
1;12;8;557;70;72;11;53;40
1;14;11;669;61;72;13;69;40
1;14;11;693;63;48;12;69;40
1;14;10;331;33;60;13;70;40
1;14;12;244;20;44;12;71;40
1;14;11;653;59;72;13;65;40
1;15;11;321;29;60;14;63;40
1;15;12;313;26;44;14;67;40
1;15;11;317;29;52;14;71;40
1;15;12;536;45;44;14;66;40
1;15;13;209;16;44;13;72;40
2;8;0;0;0;92;0;0;80
2;8;0;0;0;92;0;0;84
2;8;0;0;0;100;0;0;84
2;8;0;0;0;100;0;0;84
2;8;0;0;0;116;0;0;80
2;8;1;50;50;100;0;0;80
2;8;0;0;0;84;0;0;84
2;8;0;0;0;108;0;0;84
2;9;0;0;0;128;0;0;88
2;9;0;0;0;116;0;0;88
2;9;0;0;0;120;0;0;84
2;9;0;0;0;100;0;0;84
2;9;2;7;4;100;0;0;84
2;9;1;71;71;96;0;0;80
2;9;0;0;0;88;0;0;84
2;10;0;0;0;100;0;0;84
2;10;4;65;16;104;0;0;80
2;10;3;131;44;100;0;0;84
2;10;1;22;22;112;0;0;84
2;10;0;0;0;84;0;0;92
2;10;3;150;50;120;0;0;80
2;10;3;106;35;92;0;0;84
2;10;2;24;12;100;0;0;88
2;11;3;152;51;108;0;0;92
2;11;2;30;15;108;0;0;80
2;11;4;156;39;104;0;0;84
2;11;1;22;22;112;0;0;84
2;11;2;56;28;112;0;0;84
2;11;3;125;42;116;0;0;84
2;11;4;220;55;100;0;0;88
2;11;1;52;52;128;0;0;88
2;11;1;21;21;100;0;0;84
2;11;3;148;49;88;4;8;84
2;11;1;34;34;116;0;0;84
2;12;6;174;29;100;0;0;84
2;12;5;180;36;104;0;0;80
2;12;3;60;20;92;5;12;88
2;12;3;110;37;100;6;14;84
2;12;6;308;51;84;4;7;84
2;13;4;161;40;112;7;6;84
2;13;7;160;23;92;;;
2;13;6;377;63;192;2;5;80
2;14;9;392;44;128;;;
2;14;7;303;43;112;;;
2;15;8;282;35;108;;;
2;15;6;206;34;92;5;10;80
2;15;8;379;47;120;;;
2;15;11;511;46;88;;;
2;15;9;282;31;100;;;
2;15;;;;;;;